iter	Logloss
0	0.6230832324
1	0.5751304446
2	0.5198162942
3	0.4980200081
4	0.4790951782
5	0.4613433278
6	0.4390639674
7	0.4235887935
8	0.4027761769
9	0.3872617734
10	0.378801219
11	0.3601332439
12	0.3495801643
13	0.3454398452
14	0.3384132556
15	0.3305697373
16	0.3267143623
17	0.3212155494
18	0.3154260064
19	0.3099529726
20	0.3076265386
21	0.3038094987
22	0.300262773
23	0.2958722757
24	0.2929143571
25	0.2912340182
26	0.2880715475
27	0.2829481182
28	0.2789193102
29	0.2770316955
30	0.2749822355
31	0.2724990725
32	0.2698913283
33	0.2685024922
34	0.2665905215
35	0.2654487121
36	0.2629062446
37	0.2609619038
38	0.2593622316
39	0.2551631759
40	0.254003151
41	0.2513186599
42	0.2499397294
43	0.2475691286
44	0.246248198
45	0.2446135976
46	0.2430853975
47	0.2411366067
48	0.2397655057
49	0.2379922665
50	0.2367207213
51	0.2354664622
52	0.2343042725
53	0.2338254692
54	0.2321306656
55	0.2306846196
56	0.2294836452
57	0.2276875367
58	0.2263568545
59	0.2250602555
60	0.2236679482
61	0.2217816927
62	0.2207993893
63	0.2189741073
64	0.217295662
65	0.2163507809
66	0.2155036779
67	0.2145534117
68	0.2130106088
69	0.2118652201
70	0.2108506408
71	0.2091201861
72	0.2081347566
73	0.2067346473
74	0.2058891836
75	0.2054841986
76	0.2046716782
77	0.2038864199
78	0.2033577124
79	0.201974313
80	0.201493418
81	0.2010917124
82	0.1999266624
83	0.1981607553
84	0.1969553561
85	0.1960978974
86	0.1954631999
87	0.194819683
88	0.1928746677
89	0.1918693556
90	0.1906762537
91	0.1896369267
92	0.1887354823
93	0.1879619894
94	0.1871007321
95	0.1863953446
96	0.1855436035
97	0.1839068624
98	0.1828855959
99	0.1817685479
100	0.1811544266
101	0.17966713
102	0.1791271333
103	0.1784897161
104	0.1771823364
105	0.176522519
106	0.176160202
107	0.1750372039
108	0.1739888983
109	0.1732246918
110	0.1716929901
111	0.1712221508
112	0.170376701
113	0.1692048046
114	0.1684160144
115	0.1672426818
116	0.166624296
117	0.1656893742
118	0.1645839841
119	0.1634727153
120	0.1626870902
121	0.1622289679
122	0.1615581699
123	0.1606684542
124	0.1590287766
125	0.1579057027
126	0.1572959954
127	0.1569021228
128	0.1562871953
129	0.1555415735
130	0.1546039446
131	0.1540549653
132	0.1532640517
133	0.1524335073
134	0.1515677825
135	0.1509953888
136	0.1504707387
137	0.1497469537
138	0.1486442229
139	0.1483624563
140	0.1474003532
141	0.1465887543
142	0.145687151
143	0.1452887052
144	0.1450003471
145	0.1436299501
146	0.1429202593
147	0.1424610092
148	0.1418393475
149	0.1403524486
150	0.1399628867
151	0.1391386508
152	0.1387133305
153	0.1377645453
154	0.1372989739
155	0.137038423
156	0.1361669409
157	0.1355116976
158	0.135167922
159	0.134247386
160	0.1323836581
161	0.1317852132
162	0.1312879975
163	0.1309123508
164	0.1303668191
165	0.1298467256
166	0.1294643148
167	0.1290887847
168	0.1287731518
169	0.1281660384
170	0.1274381467
171	0.1264904764
172	0.1260220307
173	0.1255855705
174	0.1252891509
175	0.1248656294
176	0.1244693685
177	0.1242738189
178	0.1237686668
179	0.1234164971
180	0.1229674897
181	0.1224163353
182	0.1216208852
183	0.1213299127
184	0.1207392197
185	0.1204219061
186	0.1199247916
187	0.119613194
188	0.1190026129
189	0.1184972968
190	0.1180359653
191	0.1177766177
192	0.1175156288
193	0.1168508265
194	0.1160930387
195	0.1158006142
196	0.1153652138
197	0.1148563155
198	0.1146315598
199	0.1140940866
200	0.1137204419
201	0.1132934698
202	0.1123639669
203	0.1120977743
204	0.1116663828
205	0.1113805526
206	0.1109746564
207	0.1107191532
208	0.1104379018
209	0.1102265258
210	0.1095126496
211	0.1092717625
212	0.1090406175
213	0.1088649222
214	0.1081880427
215	0.1077847997
216	0.1066619708
217	0.1063380801
218	0.1060702691
219	0.1056835177
220	0.1053406005
221	0.1051338119
222	0.1049452909
223	0.1046987238
224	0.1044755752
225	0.104323444
226	0.1041364795
227	0.1038330824
228	0.1034519026
229	0.1028919241
230	0.1023794511
231	0.1020735402
232	0.1018912644
233	0.1014252158
234	0.1012995208
235	0.1006642157
236	0.1004810513
237	0.1000724134
238	0.09974480546
239	0.09937811797
240	0.0988915341
241	0.09867335805
242	0.09815215553
243	0.0976446832
244	0.09731031811
245	0.09632401339
246	0.09612051906
247	0.0952861488
248	0.09481273122
249	0.0942104939
250	0.09391285657
251	0.09375911704
252	0.09356891783
253	0.09312574303
254	0.09291315147
255	0.09262976483
256	0.09248430985
257	0.09200740439
258	0.09166886662
259	0.09132632434
260	0.09112156535
261	0.09076920049
262	0.0905421903
263	0.09016379081
264	0.08988345652
265	0.08974025216
266	0.0893198441
267	0.0891360206
268	0.08883711128
269	0.08867735522
270	0.08836610077
271	0.08781865409
272	0.08764885358
273	0.0874402589
274	0.08730685094
275	0.08700553906
276	0.08684614742
277	0.08648598172
278	0.08575254074
279	0.0851918089
280	0.08511426427
281	0.08497972454
282	0.08427397292
283	0.0839804278
284	0.08386098956
285	0.08359352426
286	0.08349805091
287	0.08292299002
288	0.08269116057
289	0.0822480036
290	0.08183969242
291	0.08161234028
292	0.08136832903
293	0.08103507685
294	0.08081466924
295	0.08041184725
296	0.08023269078
297	0.08000134116
298	0.07973174442
299	0.07957890627
